brand|description|condition|id|image_link|link|mpn|isbn|price|google product category|title|upc|shipping|adwords_redirect|adwords_labels|Product type|Size|Colour|availability|promotion_id|is_bundle
De Dietrich|120cm Downdraft Extractor|New|DHD1102X|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/D/De Dietrich-dhd1102x.jpg|http://www.appliancecity.co.uk/de-dietrich/cooker-hoods/dhd1102x/product-16678//|DHD1102X||1749.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Range Hoods|De Dietrich DHD1102X in BLACK 120cm Downdraft Extractor|3660767579521|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=398&DELCMD=70|De Dietrich|Cooker Hoods||BLACK|In Stock|421|
De Dietrich|52cm Canopy Hood|New|DHG1166X|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/D/De Dietrich-dhg1166x.jpg|http://www.appliancecity.co.uk/de-dietrich/cooker-hoods/dhg1166x/product-16656//|DHG1166X||379.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Range Hoods|De Dietrich DHG1166X in STAINLESS STEEL 52cm Canopy Hood|3660767579651|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=403&DELCMD=70||Cooker Hoods||STAINLESS STEEL|In Stock|421|
De Dietrich|72cm Canopy Hood|New|DHG1167X|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/D/De Dietrich-dhg1167x.jpg|http://www.appliancecity.co.uk/de-dietrich/cooker-hoods/dhg1167x/product-16655//|DHG1167X||519.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Range Hoods|De Dietrich DHG1167X in STAINLESS STEEL 72cm Canopy Hood|3660767579668|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=404&DELCMD=70|De Dietrich|Cooker Hoods||STAINLESS STEEL|In Stock|421|
De Dietrich|60cm Telescopic Hood|New|DHT1116X|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/D/De Dietrich-dht1116x.jpg|http://www.appliancecity.co.uk/de-dietrich/cooker-hoods/dht1116x/product-16682//|DHT1116X||349.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Range Hoods|De Dietrich DHT1116X in STAINLESS STEEL 60cm Telescopic Hood|3660767579729|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=406&DELCMD=70||Cooker Hoods||STAINLESS STEEL|In Stock|421|
De Dietrich|90cm Telescopic Hood|New|DHT1119X|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/D/De Dietrich-dht1119x.jpg|http://www.appliancecity.co.uk/de-dietrich/cooker-hoods/dht1119x/product-16681//|DHT1119X||389.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Range Hoods|De Dietrich DHT1119X in STAINLESS STEEL 90cm Telescopic Hood|3660767924062|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=407&DELCMD=70||Cooker Hoods||STAINLESS STEEL|In Stock|421|
De Dietrich|Built In Microwave & Grill For Tall Housing|New|DME1129B|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/D/De Dietrich-dme1129b.jpg|http://www.appliancecity.co.uk/de-dietrich/compact-appliances/dme1129b/product-17843//|DME1129B||509.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Microwave Ovens|De Dietrich DME1129B in BLACK Built In Microwave & Grill For Tall Housing|3660767901698|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=420&DELCMD=70||Compact Appliances||BLACK|In Stock|421|
De Dietrich|Built In Microwave & Grill For Tall Housing|New|DME1129X|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/D/De Dietrich-dme1129x.jpg|http://www.appliancecity.co.uk/de-dietrich/compact-appliances/dme1129x/product-17842//|DME1129X||569.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Microwave Ovens|De Dietrich DME1129X in STAINLESS STEEL Built In Microwave & Grill For Tall Housing|3660767901636|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=421&DELCMD=70||Compact Appliances||STAINLESS STEEL|In Stock|421|
De Dietrich|Domino Tepan Yaki Hob|New|DTE1168X|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/D/De Dietrich-dte1168x-hob.jpg|http://www.appliancecity.co.uk/de-dietrich/hobs/dte1168x/product-16652//|DTE1168X||1079.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|De Dietrich DTE1168X in STAINLESS STEEL Domino Tepan Yaki Hob|3660767923249|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=432&DELCMD=70||Hobs||STAINLESS STEEL|In Stock|421|
De Dietrich|Domino Wok Burner|New|DTG1118X|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/D/De Dietrich-dtg1118x-hob.jpg|http://www.appliancecity.co.uk/de-dietrich/hobs/dtg1118x/product-16650//|DTG1118X||629.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|De Dietrich DTG1118X in STAINLESS STEEL Domino Wok Burner|3660767923270|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=433&DELCMD=70||Hobs||STAINLESS STEEL|In Stock|421|
De Dietrich|60cm Gas On Glass Hob Steel Trim|New|DTG1164X|http://www.appliancecity.co.uk/Upload/ProductImages/MainImages/D/De Dietrich-dtg1164x-hob.jpg|http://www.appliancecity.co.uk/de-dietrich/hobs/dtg1164x/product-16648//|DTG1164X||459.00|Home & Garden > Kitchen & Dining > Kitchen Appliances > Cooktops|De Dietrich DTG1164X in STAINLESS STEEL 60cm Gas On Glass Hob Steel Trim|3660767917927|UK:::0.00|http://tracking.onefeed.co.uk/ProcessPartnerClick.ashx?acct=10&feedId=2&prodId=434&DELCMD=70||Hobs||STAINLESS STEEL|In Stock|421|
